target_type,target_id,risk_score,intelligence_confidence,investigation_priority,trade_score,route_score,entity_score,linguistic_score,animal_score,cross_evidence_alignment,evidence_stream_count,evidence_streams,supporting_incidents,supporting_routes,supporting_actors,explanation
INCIDENT,INC-3B76D32D,56.4,66.6,MONITOR,68.62,88.53,57.39,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-3B76D32D,RTE-15641305,ACT-DUP-0010,This incident exhibits risk indicators (score 56.4).
INCIDENT,INC-72CC895D,56.37,75.67,MONITOR,66.55,61.73,25.31,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-72CC895D,RTE-32F0E94F,ACT-EA441661,This incident exhibits risk indicators (score 56.4).
INCIDENT,INC-589AB78F,56.36,57.09,MONITOR,67.24,80.62,55.99,10.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-589AB78F,RTE-844D2BD8,ACT-DUP-0002,This incident exhibits risk indicators (score 56.4).
INCIDENT,INC-3911A5DD,56.23,81.16,MONITOR,58.97,57.25,44.54,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-3911A5DD,RTE-5A090E6C,ACT-DUP-0001,This incident exhibits risk indicators (score 56.2).
ACTOR,ACT-7494AE24,55.91,71.37,MONITOR,43.32,77.89,13.51,57.22,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-519C9B4B|INC-78F43FAB|INC-D4E686B3|INC-12FED95A|INC-49772DB9,RTE-C3C4BB2E|RTE-F51C2F2E|RTE-A6BAB08D|RTE-12678A58,ACT-7494AE24,This actor exhibits risk indicators (score 55.9) with coded communication signals detected in associated messages.
INCIDENT,INC-0900EA33,55.79,54.32,MONITOR,68.62,88.53,36.65,10.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-0900EA33,RTE-15641305,ACT-2F205955,This incident exhibits risk indicators (score 55.8).
INCIDENT,INC-4E49C454,55.5,69.15,MONITOR,79.48,63.43,68.47,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-4E49C454,RTE-FB4EE4BA,ACT-DUP-0004,This incident exhibits risk indicators (score 55.5).
INCIDENT,INC-6D25D6CE,55.47,63.97,MONITOR,68.62,88.53,44.54,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-6D25D6CE,RTE-15641305,ACT-DUP-0001,This incident exhibits risk indicators (score 55.5).
ROUTE,RTE-32F0E94F,55.23,69.07,MONITOR,75.82,61.73,62.29,0.0,0.0,45.0,3,TRADE|ROUTE|ENTITY,INC-0EC4B271|INC-F315480D|INC-BD1CBF34|INC-1F9B79FA|INC-B8101499|INC-D34E63D1|INC-F7233FDE|INC-B340A50F|INC-2005D018|INC-CFB16B32,RTE-32F0E94F,ACT-4DBAB638|ACT-EA441661|ACT-45C722DA|ACT-A7290540|ACT-16E31CC7,This route exhibits risk indicators (score 55.2).
INCIDENT,INC-822B9C23,55.12,66.5,MONITOR,70.0,84.44,53.37,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-822B9C23,RTE-F51C2F2E,ACT-DUP-0009,This incident exhibits risk indicators (score 55.1).
ACTOR,ACT-A7290540,55.07,68.74,MONITOR,49.52,87.31,14.05,35.0,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-EA003C6C|INC-B7B4001A|INC-18B3A5B0|INC-62F9706C|INC-41438DE4|INC-5A1D62F5|INC-27AF02AC|INC-5EF621B3|INC-751BFF5B,RTE-32F0E94F|RTE-F51C2F2E,ACT-A7290540,This actor exhibits risk indicators (score 55.1).
INCIDENT,INC-BC46527B,54.91,64.63,MONITOR,68.62,88.53,47.51,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-BC46527B,RTE-15641305,ACT-DUP-0008,This incident exhibits risk indicators (score 54.9).
INCIDENT,INC-5B989C61,54.86,67.55,MONITOR,67.24,80.62,55.99,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-5B989C61,RTE-844D2BD8,ACT-DUP-0002,This incident exhibits risk indicators (score 54.9).
INCIDENT,INC-DABFAEBC,54.79,64.54,MONITOR,70.0,84.44,44.54,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-DABFAEBC,RTE-F51C2F2E,ACT-DUP-0001,This incident exhibits risk indicators (score 54.8).
INCIDENT,INC-F4EEC901,54.54,73.19,MONITOR,59.48,63.43,48.72,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-F4EEC901,RTE-FB4EE4BA,ACT-DUP-0007,This incident exhibits risk indicators (score 54.5).
ROUTE,RTE-22651175,54.49,80.73,MONITOR,42.35,37.95,49.46,60.0,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A8C18B51|INC-2DDB92C7|INC-C1488574|INC-8A267DEE|INC-00274222|INC-3309C37C|INC-0153BECF|INC-97AFBC25,RTE-22651175,ACT-99F0286C|ACT-72D14581|ACT-5B9A50EE|ACT-516B220E|ACT-EBD0B65D,This route exhibits risk indicators (score 54.5) with coded communication signals detected in associated messages.
ACTOR,ACT-5535B8FF,54.33,73.96,MONITOR,36.5,78.41,26.74,53.91,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-30BA3CAE|INC-9DA78801|INC-431E4BE0|INC-5D101D0F|INC-1798C080,RTE-27682144|RTE-05837773|RTE-F51C2F2E,ACT-5535B8FF,This actor exhibits risk indicators (score 54.3) with coded communication signals detected in associated messages.
INCIDENT,INC-FF21C80A,54.24,65.23,MONITOR,70.0,84.44,47.51,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-FF21C80A,RTE-F51C2F2E,ACT-DUP-0008,This incident exhibits risk indicators (score 54.2).
INCIDENT,INC-62F9706C,53.97,55.66,MONITOR,85.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-62F9706C,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 54.0).
INCIDENT,INC-27AF02AC,53.97,55.66,MONITOR,85.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-27AF02AC,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 54.0).
INCIDENT,INC-5A1D62F5,53.97,55.66,MONITOR,85.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-5A1D62F5,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 54.0).
INCIDENT,INC-BF3565C3,53.9,59.12,MONITOR,82.24,80.62,24.56,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-BF3565C3,RTE-844D2BD8,ACT-157A0D7D,This incident exhibits risk indicators (score 53.9).
INCIDENT,INC-B3F13D55,53.86,75.85,MONITOR,58.97,57.25,48.72,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-B3F13D55,RTE-5A090E6C,ACT-DUP-0007,This incident exhibits risk indicators (score 53.9).
INCIDENT,INC-5319B266,53.69,80.91,MONITOR,38.97,58.56,48.72,40.0,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-5319B266,RTE-D37D6F20,ACT-DUP-0007,This incident exhibits risk indicators (score 53.7).
INCIDENT,INC-787713CD,53.42,52.88,MONITOR,63.62,88.53,9.19,30.0,0.0,25.0,3,TRADE|ROUTE|LINGUISTIC,INC-787713CD,RTE-15641305,ACT-480A6546,This incident exhibits risk indicators (score 53.4).
ACTOR,ACT-157A0D7D,53.31,69.81,MONITOR,20.41,80.62,24.56,59.13,0.0,35.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-FE7DD637|INC-CA1AE4F9|INC-BF3565C3,RTE-844D2BD8,ACT-157A0D7D,This actor exhibits risk indicators (score 53.3) with coded communication signals detected in associated messages.
ACTOR,ACT-F70E04EC,53.3,65.21,MONITOR,75.29,80.39,45.88,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-A90DF55B|INC-5F1EE080|INC-ACD8DFCD|INC-4C48EFFC|INC-C36D97AB|INC-A6646C7F|INC-B9EF0A14|INC-F3E7C448,RTE-844D2BD8|RTE-674B55E3|RTE-D769322C|RTE-83C30583|RTE-7C3E668E,ACT-F70E04EC,This actor exhibits risk indicators (score 53.3).
INCIDENT,INC-C378F9D9,53.1,63.42,MONITOR,70.0,84.44,39.94,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-C378F9D9,RTE-F51C2F2E,ACT-BF767554,This incident exhibits risk indicators (score 53.1).
INCIDENT,INC-0080E45A,52.7,55.26,MONITOR,81.55,61.73,9.19,40.0,0.0,25.0,3,TRADE|ROUTE|LINGUISTIC,INC-0080E45A,RTE-32F0E94F,ACT-DD3ED62E,This incident exhibits risk indicators (score 52.7).
ACTOR,ACT-DUP-0005,52.52,66.79,MONITOR,58.67,84.84,60.92,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-32161C4F|INC-17D6DB38|INC-8701EC71|INC-6391E51B|INC-6643099B|INC-131AE7EA|INC-E41D08F2,RTE-B5BE3EA8|RTE-5A090E6C|RTE-15641305|RTE-F51C2F2E|RTE-A6BAB08D,ACT-DUP-0005,This actor exhibits risk indicators (score 52.5).
INCIDENT,INC-1B0E87B2,52.5,64.69,MONITOR,48.62,88.53,64.71,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-1B0E87B2,RTE-15641305,ACT-DUP-0003,This incident exhibits risk indicators (score 52.5).
INCIDENT,INC-A99ECD5A,52.44,63.86,MONITOR,67.24,80.62,39.85,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-A99ECD5A,RTE-844D2BD8,ACT-EBD0B65D,This incident exhibits risk indicators (score 52.4).
INCIDENT,INC-1890EF7F,52.42,70.18,MONITOR,64.48,63.43,19.6,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-1890EF7F,RTE-FB4EE4BA,ACT-6F081E40,This incident exhibits risk indicators (score 52.4).
INCIDENT,INC-F3E7C448,52.35,65.35,MONITOR,67.24,80.62,45.88,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-F3E7C448,RTE-844D2BD8,ACT-F70E04EC,This incident exhibits risk indicators (score 52.3).
ACTOR,ACT-DUP-0006,52.34,67.7,MONITOR,62.32,81.33,59.49,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-3ED8334F|INC-A5B18D16|INC-EF577071|INC-403FDB4C|INC-F97EDDD5|INC-ECB2E22B,RTE-B4CA579B|RTE-5A090E6C|RTE-F51C2F2E|RTE-15641305|RTE-674B55E3,ACT-DUP-0006,This actor exhibits risk indicators (score 52.3).
INCIDENT,INC-9DA78801,52.12,59.82,MONITOR,70.0,84.44,26.74,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-9DA78801,RTE-F51C2F2E,ACT-5535B8FF,This incident exhibits risk indicators (score 52.1).
ROUTE,RTE-4424DBF1,51.99,72.13,MONITOR,35.05,28.75,41.91,85.0,0.0,50.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A3DFB62E|INC-1CDD4560|INC-728F0959|INC-4E39810E|INC-5A1F8BFD,RTE-4424DBF1,ACT-CA6408EB|ACT-A647D8DE|ACT-D4295B58|ACT-28E1066F|ACT-5BCEA423,This route exhibits risk indicators (score 52.0) with coded communication signals detected in associated messages.
INCIDENT,INC-40171DBA,51.79,75.39,MONITOR,44.48,63.43,48.72,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-40171DBA,RTE-FB4EE4BA,ACT-DUP-0007,This incident exhibits risk indicators (score 51.8).
INCIDENT,INC-0EBE2272,51.75,71.0,MONITOR,64.48,63.43,68.47,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-0EBE2272,RTE-FB4EE4BA,ACT-DUP-0004,This incident exhibits risk indicators (score 51.7).
INCIDENT,INC-2C70FAE0,51.68,67.82,MONITOR,73.97,58.56,53.67,0.0,0.0,35.0,3,TRADE|ROUTE|ENTITY,INC-2C70FAE0,RTE-D37D6F20,ACT-6C2A62E9,This incident exhibits risk indicators (score 51.7).
INCIDENT,INC-A82CC362,51.42,68.21,MONITOR,64.48,63.43,19.6,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A82CC362,RTE-FB4EE4BA,ACT-6F081E40,This incident exhibits risk indicators (score 51.4).
INCIDENT,INC-CFB16B32,51.12,70.01,MONITOR,61.55,61.73,25.31,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CFB16B32,RTE-32F0E94F,ACT-EA441661,This incident exhibits risk indicators (score 51.1).
INCIDENT,INC-EF577071,51.03,65.26,MONITOR,50.0,84.44,59.49,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-EF577071,RTE-F51C2F2E,ACT-DUP-0006,This incident exhibits risk indicators (score 51.0).
INCIDENT,INC-006A0A35,50.63,60.5,MONITOR,67.24,80.62,27.76,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-006A0A35,RTE-844D2BD8,ACT-0BE618C7,This incident exhibits risk indicators (score 50.6).
INCIDENT,INC-5EF621B3,50.22,55.79,MONITOR,70.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-5EF621B3,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 50.2).
INCIDENT,INC-18B3A5B0,50.22,55.79,MONITOR,70.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-18B3A5B0,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 50.2).
INCIDENT,INC-08138381,50.16,62.97,MONITOR,48.62,88.53,49.16,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-08138381,RTE-15641305,ACT-130BC3BE,This incident exhibits risk indicators (score 50.2).
ACTOR,ACT-480A6546,50.15,53.47,MONITOR,48.16,89.47,9.19,39.12,0.0,15.0,3,TRADE|ROUTE|LINGUISTIC,INC-15999B13|INC-89C9D480|INC-CB5C41F5|INC-787713CD|INC-AF82125B|INC-78AFF1CC,RTE-C146AD8A|RTE-842CC51F|RTE-15641305,ACT-480A6546,This actor exhibits risk indicators (score 50.2).
INCIDENT,INC-CA1AE4F9,50.15,59.52,MONITOR,67.24,80.62,24.56,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-CA1AE4F9,RTE-844D2BD8,ACT-157A0D7D,This incident exhibits risk indicators (score 50.2).
INCIDENT,INC-49772DB9,50.14,55.6,MONITOR,70.0,84.44,13.51,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-49772DB9,RTE-F51C2F2E,ACT-7494AE24,This incident exhibits risk indicators (score 50.1).
INCIDENT,INC-CFDECC5B,49.86,65.08,MONITOR,47.24,80.62,55.99,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-CFDECC5B,RTE-844D2BD8,ACT-DUP-0002,This incident exhibits risk indicators (score 49.9).
INCIDENT,INC-D7D8E05F,49.28,73.03,MONITOR,38.97,58.56,55.99,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-D7D8E05F,RTE-D37D6F20,ACT-DUP-0002,This incident exhibits risk indicators (score 49.3).
INCIDENT,INC-BF83886D,49.2,48.23,MONITOR,67.24,80.62,4.86,13.33,0.0,25.0,3,TRADE|ROUTE|LINGUISTIC,INC-BF83886D,RTE-844D2BD8,ACT-9150A102,This incident exhibits risk indicators (score 49.2).
ACTOR,ACT-EA441661,49.2,74.11,MONITOR,25.41,61.73,25.31,54.12,0.0,35.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CFB16B32|INC-D079FCB9|INC-72CC895D,RTE-32F0E94F,ACT-EA441661,This actor exhibits risk indicators (score 49.2) with coded communication signals detected in associated messages.
ACTOR,ACT-9150A102,49.15,54.24,MONITOR,44.11,81.56,4.86,56.67,0.0,15.0,3,TRADE|ROUTE|LINGUISTIC,INC-F16B3BA6|INC-37F58A26|INC-BF83886D|INC-5814A5A3|INC-AE29A212|INC-C435FC84,RTE-378A7DE2|RTE-844D2BD8,ACT-9150A102,This actor exhibits risk indicators (score 49.1) with coded communication signals detected in associated messages.
ACTOR,ACT-DUP-0010,49.04,62.99,MONITOR,43.2,88.53,57.39,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-3B76D32D|INC-BE5B30E7|INC-CDA89BFA|INC-877EF9A7|INC-8FA93DB2,RTE-5A090E6C|RTE-844D2BD8|RTE-F51C2F2E|RTE-15641305|RTE-D37D6F20,ACT-DUP-0010,This actor exhibits risk indicators (score 49.0).
INCIDENT,INC-D4E686B3,48.89,55.47,MONITOR,65.0,84.44,13.51,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-D4E686B3,RTE-F51C2F2E,ACT-7494AE24,This incident exhibits risk indicators (score 48.9).
INCIDENT,INC-BD8D0EED,48.79,68.33,MONITOR,64.48,63.43,48.72,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-BD8D0EED,RTE-FB4EE4BA,ACT-DUP-0007,This incident exhibits risk indicators (score 48.8).
INCIDENT,INC-30714B3F,48.79,68.33,MONITOR,64.48,63.43,48.72,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-30714B3F,RTE-FB4EE4BA,ACT-DUP-0007,This incident exhibits risk indicators (score 48.8).
INCIDENT,INC-92F2DDB3,48.79,68.33,MONITOR,64.48,63.43,48.72,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-92F2DDB3,RTE-FB4EE4BA,ACT-DUP-0007,This incident exhibits risk indicators (score 48.8).
INCIDENT,INC-1DDB2C11,48.62,69.37,MONITOR,66.55,61.73,53.67,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-1DDB2C11,RTE-32F0E94F,ACT-6C2A62E9,This incident exhibits risk indicators (score 48.6).
ACTOR,ACT-DUP-0008,48.53,65.32,MONITOR,55.99,79.61,47.51,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-E8CE8DB8|INC-063C1F2C|INC-FF21C80A|INC-84D99EB6|INC-BC46527B|INC-FE8EFEF7,RTE-5A090E6C|RTE-15641305|RTE-F51C2F2E|RTE-EF6F0110|RTE-12678A58,ACT-DUP-0008,This actor exhibits risk indicators (score 48.5).
INCIDENT,INC-E5D4001B,48.17,57.99,MONITOR,79.48,63.43,19.6,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-E5D4001B,RTE-FB4EE4BA,ACT-6F081E40,This incident exhibits risk indicators (score 48.2).
INCIDENT,INC-54ADB586,47.99,59.63,MONITOR,62.24,80.62,25.12,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-54ADB586,RTE-844D2BD8,ACT-0D3A69A7,This incident exhibits risk indicators (score 48.0).
ROUTE,RTE-8F0A4EBD,47.82,75.22,MONITOR,24.65,29.99,54.4,60.0,0.0,50.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-8EB5B84D|INC-07FD8D0D|INC-4A35725C|INC-2CE068AA|INC-E8023570|INC-FE1AB35A,RTE-8F0A4EBD,ACT-E039AAEB|ACT-0BE618C7|ACT-1DF99FFB|ACT-40058B0F|ACT-130BC3BE,This route exhibits risk indicators (score 47.8) with coded communication signals detected in associated messages.
ROUTE,RTE-DD5236CF,47.71,75.64,MONITOR,34.46,22.81,52.62,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-10F165CA|INC-94298C74|INC-63DF534D|INC-90E24B50,RTE-DD5236CF,ACT-DD3ED62E|ACT-DUP-0004|ACT-61CA522C|ACT-0137B6D6,This route exhibits risk indicators (score 47.7) with coded communication signals detected in associated messages.
INCIDENT,INC-0EC4B271,47.7,57.05,MONITOR,61.55,61.73,9.19,40.0,0.0,25.0,3,TRADE|ROUTE|LINGUISTIC,INC-0EC4B271,RTE-32F0E94F,ACT-DD3ED62E,This incident exhibits risk indicators (score 47.7).
INCIDENT,INC-A3DFB62E,47.66,80.18,MONITOR,47.76,28.75,36.88,46.67,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A3DFB62E,RTE-4424DBF1,ACT-5BCEA423,This incident exhibits risk indicators (score 47.7).
INCIDENT,INC-FE66FC1A,47.59,70.61,MONITOR,58.97,58.56,64.71,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-FE66FC1A,RTE-D37D6F20,ACT-DUP-0003,This incident exhibits risk indicators (score 47.6).
INCIDENT,INC-1D3FC12F,47.47,62.24,MONITOR,45.0,84.44,44.07,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-1D3FC12F,RTE-F51C2F2E,ACT-0E08ABDD,This incident exhibits risk indicators (score 47.5).
INCIDENT,INC-D7628F86,47.26,70.41,MONITOR,58.97,57.25,64.71,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-D7628F86,RTE-5A090E6C,ACT-DUP-0003,This incident exhibits risk indicators (score 47.3).
ACTOR,ACT-DD3ED62E,47.09,56.54,MONITOR,55.91,69.21,9.19,39.55,0.0,15.0,3,TRADE|ROUTE|LINGUISTIC,INC-0EC4B271|INC-2E288468|INC-90E24B50|INC-0080E45A|INC-0AA68A2E,RTE-DD5236CF|RTE-F534A60F|RTE-32F0E94F,ACT-DD3ED62E,This actor exhibits risk indicators (score 47.1).
INCIDENT,INC-F315480D,47.02,54.8,MONITOR,81.55,61.73,11.35,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-F315480D,RTE-32F0E94F,ACT-516B220E,This incident exhibits risk indicators (score 47.0).
INCIDENT,INC-3C7F2D1E,47.02,58.37,MONITOR,48.62,88.53,28.21,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-3C7F2D1E,RTE-15641305,ACT-D404B1E6,This incident exhibits risk indicators (score 47.0).
INCIDENT,INC-5814A5A3,46.95,38.63,MONITOR,82.24,80.62,4.86,0.0,0.0,25.0,2,TRADE|ROUTE,INC-5814A5A3,RTE-844D2BD8,ACT-9150A102,This incident exhibits risk indicators (score 46.9).
ACTOR,ACT-A3B509D1,46.78,50.97,MONITOR,25.38,84.44,67.45,4.71,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-A87B0AD0|INC-D3B016C3|INC-15094649|INC-0BBF9870|INC-35C14236,RTE-F2391A9E|RTE-F51C2F2E,ACT-A3B509D1,This actor exhibits risk indicators (score 46.8).
INCIDENT,INC-60A557B7,46.75,66.73,MONITOR,44.48,63.43,68.47,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-60A557B7,RTE-FB4EE4BA,ACT-DUP-0004,This incident exhibits risk indicators (score 46.7).
ROUTE,RTE-FDDFEF85,46.73,64.25,MONITOR,20.19,24.37,33.94,100.0,0.0,35.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-38A2513D|INC-6FD8D1E2|INC-494FEC72,RTE-FDDFEF85,ACT-4DBAB638|ACT-2F205955|ACT-001930AF,This route exhibits risk indicators (score 46.7) with coded communication signals detected in associated messages.
INCIDENT,INC-F97EDDD5,46.48,71.51,MONITOR,58.97,57.25,59.49,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-F97EDDD5,RTE-5A090E6C,ACT-DUP-0006,This incident exhibits risk indicators (score 46.5).
INCIDENT,INC-78AFF1CC,46.17,39.76,MONITOR,68.62,88.53,9.19,0.0,0.0,25.0,2,TRADE|ROUTE,INC-78AFF1CC,RTE-15641305,ACT-480A6546,This incident exhibits risk indicators (score 46.2).
INCIDENT,INC-CDA89BFA,46.16,71.6,MONITOR,58.97,57.25,57.39,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-CDA89BFA,RTE-5A090E6C,ACT-DUP-0010,This incident exhibits risk indicators (score 46.2).
INCIDENT,INC-C23A7161,46.04,61.72,MONITOR,73.97,58.56,29.38,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-C23A7161,RTE-D37D6F20,ACT-7353F8D0,This incident exhibits risk indicators (score 46.0).
INCIDENT,INC-1531B1ED,45.84,62.58,MONITOR,64.48,63.43,29.09,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-1531B1ED,RTE-FB4EE4BA,ACT-A19B3B13,This incident exhibits risk indicators (score 45.8).
ROUTE,RTE-674B55E3,45.77,74.25,MONITOR,26.72,26.0,60.62,60.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-D24AB0E3|INC-01E8CFE1|INC-3ED8334F|INC-4C48EFFC|INC-87E0247E,RTE-674B55E3,ACT-A05EB96B|ACT-F70E04EC|ACT-DUP-0006|ACT-C48421F9|ACT-F20CA79B,This route exhibits risk indicators (score 45.8) with coded communication signals detected in associated messages.
ACTOR,ACT-DUP-0003,45.74,60.44,MONITOR,29.28,84.84,64.71,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-D7628F86|INC-FE66FC1A|INC-17AA367E|INC-1B0E87B2,RTE-15641305|RTE-D37D6F20|RTE-5A090E6C|RTE-F51C2F2E,ACT-DUP-0003,This actor exhibits risk indicators (score 45.7).
INCIDENT,INC-ECB2E22B,45.55,70.74,MONITOR,53.97,58.56,59.49,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-ECB2E22B,RTE-D37D6F20,ACT-DUP-0006,This incident exhibits risk indicators (score 45.6).
INCIDENT,INC-6391E51B,45.44,70.52,MONITOR,53.97,57.25,60.92,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-6391E51B,RTE-5A090E6C,ACT-DUP-0005,This incident exhibits risk indicators (score 45.4).
INCIDENT,INC-B7B4001A,45.22,54.58,MONITOR,50.0,84.44,14.05,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-B7B4001A,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 45.2).
INCIDENT,INC-FE7DD637,45.15,58.4,MONITOR,47.24,80.62,24.56,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-FE7DD637,RTE-844D2BD8,ACT-157A0D7D,This incident exhibits risk indicators (score 45.2).
ROUTE,RTE-B4DC47C9,45.02,75.84,MONITOR,34.46,22.81,47.98,60.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-42FE4868|INC-1B2B6136|INC-F9B159E0|INC-CD4B4FDB,RTE-B4DC47C9,ACT-83FE0258|ACT-130BC3BE|ACT-DB3AAE2B|ACT-D404B1E6,This route exhibits risk indicators (score 45.0) with coded communication signals detected in associated messages.
ACTOR,ACT-D404B1E6,45.01,60.59,MONITOR,54.87,78.26,28.21,0.0,0.0,5.0,3,TRADE|ROUTE|ENTITY,INC-D394A13C|INC-3C7F2D1E|INC-CD369185|INC-CD4B4FDB|INC-9D2BA2B7,RTE-15641305|RTE-7C3E668E|RTE-EF6F0110|RTE-B4DC47C9|RTE-D37D6F20,ACT-D404B1E6,This actor exhibits risk indicators (score 45.0).
ROUTE,RTE-5CFE009F,44.68,75.08,LOW,43.39,25.44,26.53,60.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-BF08DBB6|INC-F8517BB9|INC-A03A3F0C|INC-6D10E95C|INC-5190CCE5,RTE-5CFE009F,ACT-802FEC44|ACT-8D60BEB9|ACT-61CA522C|ACT-F702EB53|ACT-FD05814E,
